outcome,analysis,term,b,se,p
F3 vowels,F3 full (original),height,1.7,2.61,0.517
F3 vowels,F3 full (original),BMI,0.16,5.39,0.976
F3 vowels,F3 full (original),WHR,45.82,282.53,0.872
F3 vowels,F3 full (original),Grip_MAX_both,-1.83,3.75,0.626
F3 vowels,F3 full (exclude influential),height,-0.06,2.43,0.979
F3 vowels,F3 full (exclude influential),BMI,-6.76,5.5,0.223
F3 vowels,F3 full (exclude influential),WHR,266.79,325.2,0.415
F3 vowels,F3 full (exclude influential),Grip_MAX_both,4.57,2.93,0.124
F3 vowels,F3 full (exclude ±3 SD outcome),height,1.7,2.61,0.517
F3 vowels,F3 full (exclude ±3 SD outcome),BMI,0.16,5.39,0.976
F3 vowels,F3 full (exclude ±3 SD outcome),WHR,45.82,282.53,0.872
F3 vowels,F3 full (exclude ±3 SD outcome),Grip_MAX_both,-1.83,3.75,0.626
F3 vowels,F3 full (mass instead of BMI),height,1.66,2.97,0.578
F3 vowels,F3 full (mass instead of BMI),mass,0.06,1.94,0.976
F3 vowels,F3 full (mass instead of BMI),WHR,45.78,282.08,0.872
F3 vowels,F3 full (mass instead of BMI),Grip_MAX_both,-1.83,3.74,0.626
F3 vowels,F3 full (+ BMI^2),height,1.51,2.66,0.572
F3 vowels,F3 full (+ BMI^2),BMI,-43.28,41.26,0.298
F3 vowels,F3 full (+ BMI^2),I(BMI^2),0.91,0.89,0.309
F3 vowels,F3 full (+ BMI^2),WHR,49.81,280.26,0.859
F3 vowels,F3 full (+ BMI^2),Grip_MAX_both,-1.55,3.72,0.678
F4 vowels,F4 full (original),height,-3.65,3.32,0.275
F4 vowels,F4 full (original),BMI,-6.96,6.45,0.284
F4 vowels,F4 full (original),WHR,-158.77,234.66,0.501
F4 vowels,F4 full (original),Grip_MAX_both,0.64,4.27,0.881
F4 vowels,F4 full (exclude influential),height,-5.29,3.15,0.098
F4 vowels,F4 full (exclude influential),BMI,-8.55,6.15,0.168
F4 vowels,F4 full (exclude influential),WHR,-187.46,202.93,0.359
F4 vowels,F4 full (exclude influential),Grip_MAX_both,4.1,3.86,0.292
F4 vowels,F4 full (exclude ±3 SD outcome),height,-3.65,3.32,0.275
F4 vowels,F4 full (exclude ±3 SD outcome),BMI,-6.96,6.45,0.284
F4 vowels,F4 full (exclude ±3 SD outcome),WHR,-158.77,234.66,0.501
F4 vowels,F4 full (exclude ±3 SD outcome),Grip_MAX_both,0.64,4.27,0.881
F4 vowels,F4 full (mass instead of BMI),height,-1.97,4.08,0.630
F4 vowels,F4 full (mass instead of BMI),mass,-2.31,2.28,0.314
F4 vowels,F4 full (mass instead of BMI),WHR,-166.44,234.6,0.480
F4 vowels,F4 full (mass instead of BMI),Grip_MAX_both,0.56,4.25,0.895
F4 vowels,F4 full (+ BMI^2),height,-3.74,3.36,0.269
F4 vowels,F4 full (+ BMI^2),BMI,-26.29,68.28,0.701
F4 vowels,F4 full (+ BMI^2),I(BMI^2),0.4,1.47,0.785
F4 vowels,F4 full (+ BMI^2),WHR,-156.99,239.85,0.515
F4 vowels,F4 full (+ BMI^2),Grip_MAX_both,0.77,4.29,0.858
